Universe,Decision 1,Value 1,Decision 2,Value 2,Decision 3,Value 3,Decision 4,Value 4,Decision 5,Value 5
Universe_1,preprocessing,hcp_minimal,parcellation,schaefer_400,confounds,none,filtering,True,graph_measure,global_efficiency
Universe_2,preprocessing,hcp_minimal,parcellation,schaefer_400,confounds,none,filtering,False,graph_measure,global_efficiency
Universe_3,preprocessing,hcp_minimal,parcellation,schaefer_400,confounds,gsr,filtering,True,graph_measure,global_efficiency
Universe_4,preprocessing,hcp_minimal,parcellation,schaefer_400,confounds,gsr,filtering,False,graph_measure,global_efficiency
Universe_5,preprocessing,hcp_minimal,parcellation,schaefer_400,confounds,motion_wm_csf,filtering,True,graph_measure,global_efficiency
Universe_6,preprocessing,hcp_minimal,parcellation,schaefer_400,confounds,motion_wm_csf,filtering,False,graph_measure,global_efficiency
Universe_7,preprocessing,hcp_minimal,parcellation,schaefer_400,confounds,combined,filtering,True,graph_measure,global_efficiency
Universe_8,preprocessing,hcp_minimal,parcellation,schaefer_400,confounds,combined,filtering,False,graph_measure,global_efficiency
Universe_9,preprocessing,hcp_minimal,confounds,none,parcellation,schaefer_400,filtering,True,graph_measure,global_efficiency
Universe_10,preprocessing,hcp_minimal,confounds,none,parcellation,schaefer_400,filtering,False,graph_measure,global_efficiency
Universe_11,preprocessing,hcp_minimal,confounds,gsr,parcellation,schaefer_400,filtering,True,graph_measure,global_efficiency
Universe_12,preprocessing,hcp_minimal,confounds,gsr,parcellation,schaefer_400,filtering,False,graph_measure,global_efficiency
Universe_13,preprocessing,hcp_minimal,confounds,motion_wm_csf,parcellation,schaefer_400,filtering,True,graph_measure,global_efficiency
Universe_14,preprocessing,hcp_minimal,confounds,motion_wm_csf,parcellation,schaefer_400,filtering,False,graph_measure,global_efficiency
Universe_15,preprocessing,hcp_minimal,confounds,combined,parcellation,schaefer_400,filtering,True,graph_measure,global_efficiency
Universe_16,preprocessing,hcp_minimal,confounds,combined,parcellation,schaefer_400,filtering,False,graph_measure,global_efficiency
